Symbol,Name,Sector,Validtill
DIVISLAB,Divi's Laboratories Ltd.,Pharma,2022-11-03 15:27:56
ADANIPOWER,Adani Power Ltd.,Energy,2022-11-03 15:27:56
TORNTPOWER,Torrent Power Ltd.,Energy,2022-11-03 15:27:56
AARTIIND,Aarti Industries Limited,Chemicals,2022-11-03 15:27:56
SBIN,State Bank of India,Financial Services,2022-11-03 15:27:56
HAVELLS,Havells India Ltd.,Consumer Goods,2022-11-03 15:27:56
OFSS,Oracle Financial Services Software Ltd.,Information Technology,2022-11-03 15:27:56
GRASIM,Grasim Industries Ltd.,Cement & Cement Products,2022-11-03 15:27:56
IDBI,IDBI Bank Ltd.,Financial Services,2022-11-03 15:27:56
TECHM,Tech Mahindra Ltd.,Information Technology,2022-11-03 15:27:56
INDUSTOWER,Indus Towers Limited ,Telecom,2022-11-03 15:27:56
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare Services,2022-11-03 15:27:56
CENTURYTEX,Century Textile & Industries Ltd.,Cement & Cement Products,2022-11-03 15:27:56
INDIGO,InterGlobe Aviation Ltd.,Services,2022-11-03 15:27:56
BIOCON,Biocon Ltd.,Pharma,2022-11-03 15:27:56
BHARATFIN,Bharat Financial Inclusion Ltd.,Financial Services,2022-11-03 15:27:56
IPCALAB,Ipca Laboratories Limited,,2022-11-03 15:27:56
KAJARIACER,Kajaria Ceramics Ltd.,Construction,2022-11-03 15:27:56
ENGINERSIN,Engineers India Ltd.,Construction,2022-11-03 15:27:56
INFIBEAM,Infibeam Incorporation Ltd.,Information Technology,2022-11-03 15:27:56
